code	year	deaths	new	living
0	1990	20.9946911205	59.5762528877	35.574281397300005	
0	1991	24.7732364231	61.4502520535	38.84728253110001	
0	1992	29.2147972898	65.3116913082	43.4757914036	
0	1993	34.1211421392	69.7197804894	48.8434813042	
0	1994	39.046898635	73.9916847618	54.52740578550001	
0	1995	43.667816213	78.2707886255	60.811418606800004	
0	1996	47.3598061766	82.6169803078	63.5565408482	
0	1997	50.3423676586	86.920514654	66.2857901334	
0	1998	52.8900180685	91.139626237	68.89362565180001	
0	1999	55.4533873574	95.9281059265	71.8783187281	
0	2000	58.3571691985	102.463484304	76.1266686447	
0	2001	61.7701358799	111.296315531	80.9584979243	
0	2002	65.9024744644	122.744354674	87.3929093942	
0	2003	70.6149024566	135.847787922	94.7025846427	
0	2004	75.7279179348	150.134660816	102.52454406500001	
0	2005	81.1443036826	166.418706904	111.456625401	
0	2006	86.3364234194	178.029458367	119.198610489	
0	2007	91.6814883448	188.533035649	126.19136375900001	
0	2008	97.461725663	201.181931755	134.47523501600003	
0	2009	102.932363539	215.626871201	143.732214832	
0	2010	107.031134195	247.18345723	165.269756221	
0	2011	110.713800775	283.625011037	182.01165606	
0	2012	115.995978313	330.46883077	204.151335745	
0	2013	125.288287511	386.64629115	231.337555378	
0	2014	137.556959229	452.831650697	264.509848364	
0	2015	152.50219552	529.842851663	305.240007761	
0	2016	159.164992822	624.620701297	359.176079697	
1	1990	1.43286260701	4.0500726877	2.6248227452700004	
1	1991	1.57790051137	4.06590906814	2.76426032216	
1	1992	1.69852915301	4.06261416938	2.88965265297	
1	1993	1.79201245129	4.0500765694	3.0062097549800004	
1	1994	1.8897237859	4.04895816853	3.13082334886	
1	1995	2.00009846847	4.07806681573	3.3173251001700006	
1	1996	2.11818471046	3.79517812038	3.2888028605099997	
1	1997	2.17489463898	3.55514313244	3.28527618241	
1	1998	2.22037075467	3.34387402532	3.29164915605	
1	1999	2.26436469864	3.15025592872	3.29777627624	
1	2000	2.27999924358	3.0320085793	3.68965792471	
1	2001	2.29838599187	3.02861629675	3.6831580550100003	
1	2002	2.32366264095	3.03953705729	3.68553664476	
1	2003	2.35411036373	3.06192211222	3.68717123187	
1	2004	2.37694681619	3.09578413349	3.6875333559700003	
1	2005	2.36804479098	3.14460472602	3.79857980397	
1	2006	2.36710150839	2.9362424441	3.7148598940600004	
1	2007	2.34978491895	2.75768164664	3.6207344484600004	
1	2008	2.31828505804	2.61125099954	3.5458227748200004	
1	2009	2.25750941295	2.49122721441	3.48326891679	
1	2010	2.07054195904	2.39707692608	3.5587270500800003	
1	2011	1.96807788867	2.35090373487	3.5015867863300003	
1	2012	1.93465516136	2.33559988265	3.4771569033200005	
1	2013	1.87091061445	2.34000575308	3.4695854020100003	
1	2014	1.79855282803	2.36069293329	3.4768856048799996	
1	2015	1.72154010313	2.39575707219	3.4970037190400003	
1	2016	1.80288220896	2.44531771036	3.6230558657000005	
2	1990	19.5102448149	64.426190308	34.0801043004	
2	1991	22.3401830587	72.8899679215	38.2401884381	
2	1992	25.5048818906	82.9109527026	43.2168807761	
2	1993	29.1491106499	94.6161117752	49.0474862414	
2	1994	33.240454845	108.291984716	55.881192798200004	
2	1995	37.9463873601	124.989724031	65.0524527612	
2	1996	43.3599656005	139.95321541	72.953493439	
2	1997	49.4947674295	157.533495946	82.3470230563	
2	1998	56.4985656216	177.880181671	93.29520981140001	
2	1999	64.4554083322	201.409716157	106.051037626	
2	2000	73.3243114135	228.967174226	122.329042657	
2	2001	83.4602629367	250.79805097	136.31563887000002	
2	2002	94.7600471841	275.695537902	152.69047598300003	
2	2003	107.174566045	303.60126778	171.46179334200002	
2	2004	121.084424686	334.996463777	193.09834127500002	
2	2005	136.509426984	370.797770771	220.188113243	
2	2006	135.946715805	403.752544592	218.435207515	
2	2007	112.24826466	439.59418206	216.834988177	
2	2008	105.143631382	479.587906432	216.384154974	
2	2009	107.383936677	524.065743664	216.61472641	
2	2010	98.3022752729	579.230327191	404.923817324	
2	2011	85.8984682933	515.114747875	395.36287781500005	
2	2012	82.8836633614	494.845420881	417.870754204	
2	2013	75.7191810395	479.982124833	456.105765783	
2	2014	66.8853191483	470.20062436	512.144612826	
2	2015	63.1216889252	466.010559793	590.139350464	
2	2016	62.7955168349	469.335753944	697.593312874	
3	1990	0.1736856565	1.37690259752	0.5677208694870001	
3	1991	0.256802231111	1.31030637405	0.591046383797	
3	1992	0.350030294577	1.32155716702	0.652170794046	
3	1993	0.440140326765	1.34371556065	0.727925369779	
3	1994	0.526959779179	1.37820511845	0.8228848152210001	
3	1995	0.606921639381	1.50564098488	0.993678415893	
3	1996	0.680052669207	1.3692240845	0.975288072201	
3	1997	0.748081887975	1.33024599048	1.00733412485	
3	1998	0.810986617028	1.30380406091	1.04906077683	
3	1999	0.868953454415	1.28791952436	1.10054826577	
3	2000	0.922047712659	1.31007386207	1.2089981396600002	
3	2001	0.971854204767	1.42834935179	1.21498580843	
3	2002	1.02031171694	1.60600411284	1.2807016427000002	
3	2003	1.0696995499	1.81344238572	1.3552924504900001	
3	2004	1.12304895242	2.05696454645	1.44033120898	
3	2005	1.18478299846	2.46359119654	1.63766571432	
3	2006	1.25902769538	2.68871766258	1.75869168417	
3	2007	1.34824504064	2.92194872411	1.87542127414	
3	2008	1.45560697197	3.2384701008	2.05380659916	
3	2009	1.58042944367	3.60372055591	2.26080243718	
3	2010	1.72346800181	4.06838833277	2.5492935888500003	
3	2011	1.88694068142	4.3449232526	2.6403673529200002	
3	2012	2.07203317577	4.75929388495	2.82714232927	
